ambil air,ma ar
adik tidak mengambil buah,Toi Ba Woi Tei
adik tidak mengambil buku,Toi Na Buk Tei
adik tidak mengambil cangkir,Toi Na Moak  Tei
adik tidak mengambil celana,Toi Na Kada  Tei
adik tidak mengambil daun,Toi Na Kairu Tei
adik tidak mengambil garam,Toi Na Sira  Tei
adik tidak mengambil garpu,Toi Na Forok Tei
adik tidak mengambil gelas,Toi Na Galas Tei
adik tidak mengambil gitar,Toi Na Juk Tei
adik tidak mengambil handuk,Toi Na Handuk Tei
adik tidak mengambil helm,Toi Na HelemTei
adik tidak mengambil kayu,Toi Na Kai Tei
adik tidak mengambil kertas,Toi Na Kartas Tei
adik tidak mengambil kiriman ,Toi Na Fingkatu Tei
adik tidak mengambil kue,Toi Na Kukis Tei
adik tidak mengambil linggis,Toi Na Suan  Tei
adik tidak mengambil mangkuk,Toi Na Basi Kua Tei
adik tidak mengambil obat ,Toi Na Mofun Tei
adik tidak mengambil pakaian ,Toi Na Pakiang Tei
adik tidak mengambil paku,Toi Na Paku Tei
adik tidak mengambil palu,Toi Na Resan Tei
adik tidak mengambil panci,Toi Na Panci Tei
adik tidak mengambil parang,Toi Na Peda Tei
adik tidak mengambil pena,Toi Na Kalam Tei
adik tidak mengambil piring ,Toi Na Bingan Tei
adik tidak mengambil pisau,Toi Na Turk Tei
adik tidak mengambil sekop,Toi Na Skop Tei
adik tidak mengambil sendal,Toi Na Sandal Tei
adik tidak mengambil sendok,Toi Na Sisiru Tei
adik tidak mengambil sepatu ,Toi Ba Capatu Tei
adik tidak mengambil sisir,Toi Na Sisir Tei
adik tidak mengambil surat,Toi Na Surat Tei
adik tidak mengambil tas,Toi Na Tas Tei
adik tidak mengambil tisu,Toi Na Tisu Tei
adik tidak mengambil wajan,Toi Na Kaling Tei
aku tidak belajar aljabar,Aku Balajar Aljabar Tei
aku tidak belajar bahasa,Aku Balajar Minak  Tei
aku tidak belajar beradaptasi,Aku Balajar Naibisa Kumian Nai Tompat Woun Tei
aku tidak belajar berbagi,Aku Balajar Kufiguan Tei
aku tidak belajar berempati,Aku Balajar Nai kufituin Mancia Woun Tei
aku tidak belajar berenang,Aku Balajar Kungangu Tei
aku tidak belajar berjalan,Aku Balajar Kutagi Tei
aku tidak belajar berkerja,Aku Balajar Karja Tei
aku tidak belajar berkomunikasi,Aku Balajar Nai Kusabi Tura Mancia Woun Tei
aku tidak belajar berlari,Aku Balajar Ku Falaru Tei
aku tidak belajar bermain ,Aku Balajar Kulenga Tei
aku tidak belajar berpikir,Aku Balajar Kufikir Tei
aku tidak belajar bersabar,Aku Balajar Sabar a Tei
aku tidak belajar bersyukur,Aku Balajar Syukur  Tei
aku tidak belajar biologi,Aku Balajar Ilmu Alam Tei
aku tidak belajar catur ,Aku Balajar Catur Tei
aku tidak belajar displin,Aku Balajar KulengaTura Waktu ra
aku tidak belajar fisika,Aku Balajar Fisika Tei
aku tidak belajar komputer,Aku Balajar Komputer  Tei
aku tidak belajar mancing,Aku Belajar SubelatTei
aku tidak belajar matematika ,Aku Balajar Berhitung  Tei
aku tidak belajar memaafkan,Aku Balajar Tawei Gafin Tei
aku tidak belajar memanah,Aku Balajar fanak-fanak a Tei
aku tidak belajar memasak,Aku Balajar Firakan Tei
aku tidak belajar membaca,Aku Balajar Baca Tei
aku tidak belajar menari,Aku Balajar SusulaTei
aku tidak belajar mengaji,Aku Balajar Sibur Tei
aku tidak belajar menggambar,Aku Balajar Garis-garis  Tei
aku tidak belajar menghitung,Aku Balajar Firekin Tei
aku tidak belajar menjahit,Aku Balajar Firait Tei
aku tidak belajar menulis,Aku Balajar fitulis Tei
aku tidak belajar menyanyi,Aku Balajar Manyanyi Tei
aku tidak belajar olahraga ,Aku Balajar Olahraga  Tei
aku tidak belajar shalat,Aku Balajar Sumbiyang Tei
aku tidak gemar belajar,Aku Suka Kubalajar Tei
aku tidak gemar berenang,Aku Suka Kungangu Tei
aku tidak gemar bermain,Aku Suka Kulenga Tei
aku tidak gemar makan,aku suka ku ka tei
aku tidak gemar mandi,aku suka ku sou tei
aku tidak gemar menyanyi,aku suka ku manyanyi tei
aku tidak gemar minum,aku suka ku minu tei
aku tidak gemar pergi,aku suka ku tagi tei
aku tidak makan anggur,aku ka anggur tei
aku tidak makan apel,aku ka apel tei
aku tidak makan ayam,aku ka manuk tei
aku tidak makan babi,aku ka boi tei
aku tidak makan buah,aku ka woi tei
aku tidak makan buaya,aku ka wai tei
aku tidak makan daging,aku ka daging tei
aku tidak makan dodol,aku ka dodol tei
aku tidak makan domba,aku ka domba  tei
aku tidak makan gurita,aku ka kurit tei
aku tidak makan ikan,aku ka ikan tei
aku tidak makan kacang,aku ka kacang tei
aku tidak makan kambing,aku ka bibi tei
aku tidak makan kedondong,aku ka kadondong tei
aku tidak makan kelapa,aku ka niu tei
aku tidak makan kue,aku ka kukis tei
aku tidak makan mangga,aku ka ayai tei
aku tidak makan manggis,aku ka manggustan tei
aku tidak makan nanas,aku ka kainasi tei
aku tidak makan nasi ,aku ka fasa tei
aku tidak makan papeda,aku ka baititik  tei
aku tidak makan pisang,aku ka fudi tei
aku tidak makan roti,aku ka barot tei
aku tidak makan sagu,aku ka suat tei
aku tidak makan sapi,aku ka sapi tei
aku tidak makan sayur,aku ka utan tei
aku tidak makan semangka,aku ka tumin tei
aku tidak makan singkong,aku ka bangala tei
aku tidak makan sinole,aku ka sinole tei
aku tidak makan ubi,aku ka ui tei
aku tidak makan ular,aku ka tekis tei
aku tidak mengambil air ,aku na ar tei
aku tidak mengambil baju,aku na ladan tei
aku tidak mengambil barang,aku na mana sa tei
aku tidak mengambil batu,aku na watu tei
aku tidak mengambil buah,aku na woi tei
aku tidak mengambil buku,aku na buk tei
aku tidak mengambil cangkir,aku na moak  tei
aku tidak mengambil celana,aku na kada  tei
aku tidak mengambil daun,aku na kairu tei
aku tidak mengambil garam,aku na sira  tei
aku tidak mengambil garpu,aku na forok tei
aku tidak mengambil gelas,aku na galas tei
aku tidak mengambil gitar,aku na juk tei
aku tidak mengambil handuk,aku na handuk tei
aku tidak mengambil helm,aku na helem tei
aku tidak mengambil kayu,aku na kai tei
aku tidak mengambil kertas,aku na kartas tei
aku tidak mengambil kiriman ,aku na fingkatu tei
aku tidak mengambil kue,aku na kukis tei
aku tidak mengambil linggis,aku na suan  tei
aku tidak mengambil mangkuk,aku na basi kua tei
aku tidak mengambil obat ,aku na mofun tei
aku tidak mengambil pakaian ,aku na ladan tei
aku tidak mengambil paku,aku na paku tei
aku tidak mengambil palu,aku na resan tei
aku tidak mengambil panci,aku na panci tei
aku tidak mengambil parang,aku na peda tei
aku tidak mengambil pena,aku na kalam tei
aku tidak mengambil piring ,aku na bingan tei
aku tidak mengambil pisau,aku na turit tei
aku tidak mengambil sekop,aku na skop tei
aku tidak mengambil sendal,aku na sandal tei
aku tidak mengambil sendok,aku na sisiru tei
aku tidak mengambil sepatu ,aku na sapatu tei
aku tidak mengambil sisir,aku na sisir tei
aku tidak mengambil surat,aku na surat tei
aku tidak mengambil tas,aku na tas tei
aku tidak mengambil tisu,aku na tisu tei
aku tidak mengambil wajan,aku na kalin tei
ayah tidak belajar aljabar,baba na balajar aljabar tei
ayah tidak belajar bahasa,baba na balajar minak  tei
ayah tidak belajar beradaptasi,baba na balajar nai bisa ku mian nai tompat woun tei
ayah tidak belajar berbagi,baba na balajar ku figuan tei
ayah tidak belajar berempati,baba na balajar nai ku fituin mancian woun tei
ayah tidak belajar berenang,baba na balajar ngangu tei
ayah tidak belajar berjalan,baba na balajar ku tagi tei
ayah tidak belajar berkerja,baba na balajar karja tei
ayah tidak belajar berkomunikasi,baba na balajar sinabi ra  tei
ayah tidak belajar berlari,baba na balajar ku falaru tei
ayah tidak belajar bermain ,baba na balajar lenga tei
ayah tidak belajar berpikir,baba na balajar ku fikir tei
ayah tidak belajar bersabar,baba na balajar sabar a tei
ayah tidak belajar bersyukur,baba na balajar syukur  tei
ayah tidak belajar biologi,baba na balajar ilmu alam tei
ayah tidak belajar catur ,baba na balajar catur tei
ayah tidak belajar displin,baba na balajar ku lenga tu waktu ra tei tei
ayah tidak belajar fisika,baba na balajar fisika tei
ayah tidak belajar komputer,baba na balajar komputer  tei
ayah tidak belajar mancing,baba na belajar subelat tei
ayah tidak belajar matematika ,baba na balajar berhitung  tei
ayah tidak belajar memaafkan,baba na balajar ta gafin tei
ayah tidak belajar memanah,baba na balajar fana-fanak a tei
ayah tidak belajar memasak,baba na balajar firakan tei
ayah tidak belajar membaca,baba na balajar baca tei
ayah tidak belajar menari,baba na balajar sula tei
ayah tidak belajar mengaji,baba na balajar sibur tei
ayah tidak belajar menggambar,baba na balajar garis-garis  tei
ayah tidak belajar menghitung,baba na balajar firekin tei
ayah tidak belajar menjahit,baba na balajar firait tei
ayah tidak belajar menulis,baba na balajar tulis tei
ayah tidak belajar menyanyi,baba na balajar manyanyi tei
ayah tidak belajar olahraga ,baba na balajar olahraga  tei
ayah tidak belajar shalat,baba na balajar sumbiyang tei
ayah tidak gemar belajar,baba na suka balajar tei
ayah tidak gemar berenang,baba na suka ngangu tei
ayah tidak gemar bermain,baba na suka lenga tei
ayah tidak gemar makan,baba na suka fanga tei
ayah tidak gemar mandi,baba na suka sou tei
ayah tidak gemar menyanyi,baba na suka manyanyi tei
ayah tidak gemar minum,baba na suka minu tei
ayah tidak gemar pergi,baba na suka tagi tei
ayah tidak makan anggur,baba na ka fanga anggur tei
ayah tidak makan apel,baba na ka fanga apel tei
ayah tidak makan ayam,baba na ka fanga manuk tei
ayah tidak makan babi,baba na ka fanga boi tei
ayah tidak makan buah,baba na ka fanga woi tei
ayah tidak makan buaya,baba na ka fanga wai tei
ayah tidak makan daging,baba na ka fanga daging tei
ayah tidak makan dodol,baba na ka fanga dodol tei
ayah tidak makan domba,baba na ka fanga domba  tei
ayah tidak makan gurita,baba na ka fanga kurit tei
ayah tidak makan ikan,baba na ka fanga ikan tei
ayah tidak makan kacang,baba na ka fanga kacang tei
ayah tidak makan kambing,baba na ka fanga bibi tei
ayah tidak makan kedondong,baba na ka fanga kainasi tei
ayah tidak makan kelapa,baba na ka fanga niu tei
ayah tidak makan kue,baba na ka fanga kukis tei
ayah tidak makan mangga,baba na ka fanga ayai tei
ayah tidak makan manggis,baba na ka fanga manggustan tei
ayah tidak makan nanas,baba na ka fanga kainasi tei
ayah tidak makan nasi ,baba na ka fanga fasa tei
ayah tidak makan papeda,baba na ka fanga baititik  tei
ayah tidak makan pisang,baba na ka fanga fudi tei
ayah tidak makan roti,baba na ka fanga barot tei
ayah tidak makan sagu,baba na ka fanga suat tei
ayah tidak makan sapi,baba na ka fanga sapi tei
ayah tidak makan sayur,baba na ka fanga utan tei
ayah tidak makan semangka,baba na ka fanga tumin tei
ayah tidak makan singkong,baba na ka fanga bangala tei
ayah tidak makan sinole,baba na ka fanga sinole tei
ayah tidak makan ubi,baba na ka fanga ui tei
ayah tidak makan ular,baba na ka fanga tekis tei
ayah tidak mengambil air ,baba na ar tei
ayah tidak mengambil baju,baba na ladan tei
ayah tidak mengambil barang,baba na mana sa tei
ayah tidak mengambil batu,baba na watu tei
ayah tidak mengambil buah,baba na woi tei
ayah tidak mengambil buku,baba na buk tei
ayah tidak mengambil cangkir,baba na moak  tei
ayah tidak mengambil celana,baba na kada  tei
ayah tidak mengambil daun,baba na kairu tei
ayah tidak mengambil garam,baba na sira  tei
ayah tidak mengambil garpu,baba na forok tei
ayah tidak mengambil gelas,baba na galas tei
ayah tidak mengambil gitar,baba na juk tei
ayah tidak mengambil handuk,baba na handuk tei
ayah tidak mengambil helm,baba na helem tei
ayah tidak mengambil kayu,baba na kai tei
ayah tidak mengambil kertas,baba na kartas tei
ayah tidak mengambil kiriman ,baba na fingkatu tei
ayah tidak mengambil kue,baba na kukis tei
ayah tidak mengambil linggis,baba na suan  tei
ayah tidak mengambil mangkuk,baba na basi kua tei
ayah tidak mengambil obat ,baba na mofun tei
ayah tidak mengambil pakaian ,baba na ladan tei
ayah tidak mengambil paku,baba na paku tei
ayah tidak mengambil palu,baba na resan tei
ayah tidak mengambil panci,baba na panci tei
ayah tidak mengambil parang,baba na peda tei
ayah tidak mengambil pena,baba na kalam tei
ayah tidak mengambil piring ,baba na bingan tei
ayah tidak mengambil pisau,baba na turit tei
ayah tidak mengambil sekop,baba na skop tei
ayah tidak mengambil sendal,baba na sandal tei
ayah tidak mengambil sendok,baba na sisiru tei
ayah tidak mengambil sepatu ,baba na sapatu tei
ayah tidak mengambil sisir,baba na sisir tei
ayah tidak mengambil surat,baba na surat tei
ayah tidak mengambil tas,baba na tas tei
ayah tidak mengambil tisu,baba na tisu tei
ayah tidak mengambil wajan,baba na kalin tei
bapak tidak belajar aljabar,baba na balajar aljabar tei
bapak tidak belajar bahasa,baba na balajar minak  tei
bapak tidak belajar beradaptasi,baba na balajar nai bisa ku mian nai tompat woun tei
bapak tidak belajar berbagi,baba na balajar ku figuan tei
bapak tidak belajar berempati,baba na balajar nai ku fituin mancian woun tei
bapak tidak belajar berenang,baba na balajar ngangu tei
bapak tidak belajar berjalan,baba na balajar ku tagi tei
bapak tidak belajar berkerja,baba na balajar karja tei
bapak tidak belajar berkomunikasi,baba na balajar sinabi ra  tei
bapak tidak belajar berlari,baba na balajar ku falaru tei
bapak tidak belajar bermain ,baba na balajar lenga tei
bapak tidak belajar berpikir,baba na balajar ku fikir tei
bapak tidak belajar bersabar,baba na balajar sabar a tei
bapak tidak belajar bersyukur,baba na balajar syukur  tei
bapak tidak belajar biologi,baba na balajar ilmu alam tei
bapak tidak belajar catur ,baba na balajar catur tei
bapak tidak belajar displin,baba na balajar ku lenga tu waktu ra tei tei
bapak tidak belajar fisika,baba na balajar fisika tei
bapak tidak belajar komputer,baba na balajar komputer  tei
bapak tidak belajar mancing,baba na belajar subelat tei
bapak tidak belajar matematika ,baba na balajar berhitung  tei
bapak tidak belajar memaafkan,baba na balajar ta gafin tei
bapak tidak belajar memanah,baba na balajar fana-fanak a tei
bapak tidak belajar memasak,baba na balajar firakan tei
bapak tidak belajar membaca,baba na balajar baca tei
bapak tidak belajar menari,baba na balajar sula tei
bapak tidak belajar mengaji,baba na balajar sibur tei
bapak tidak belajar menggambar,baba na balajar garis-garis  tei
bapak tidak belajar menghitung,baba na balajar firekin tei
bapak tidak belajar menjahit,baba na balajar firait tei
bapak tidak belajar menulis,baba na balajar tulis tei
bapak tidak belajar menyanyi,baba na balajar manyanyi tei
bapak tidak belajar olahraga ,baba na balajar olahraga  tei
bapak tidak belajar shalat,baba na balajar sumbiyang tei
aku belajar bahasa ambon,aku balajar minak ambon
aku belajar bahasa arab,aku balajar minak arab
aku belajar bahasa belanda,aku balajar minak walanda
aku belajar bahasa geser,aku balajar minak geser
aku belajar bahasa gorom,aku balajar minak goran
aku belajar bahasa indonesia ,aku balajar minak indonesia
aku belajar bahasa jepang,aku balajar minak japang
aku belajar bahasa mandarin,aku balajar minak cina
aku belajar bahasa prancis ,aku balajar minak parancis
dia belajar bahasa ambon,i na balajar minak ambon
dia belajar bahasa arab,i na balajar minak arab
dia belajar bahasa belanda,i na balajar minak walanda
dia belajar bahasa geser,i na balajar minak geser
dia belajar bahasa gorom,i na balajar minak goran
dia belajar bahasa indonesia ,i na balajar minak indonesia
dia belajar bahasa jepang,i na balajar minak japang
dia belajar bahasa mandarin,i na balajar minak cina
dia belajar bahasa prancis ,i na balajar minak parancis
ia belajar bahasa ambon,i na balajar minak ambon
ia belajar bahasa arab,i na balajar minak arab
ia belajar bahasa belanda,i na balajar minak walanda
ia belajar bahasa geser,i na balajar minak geser
ia belajar bahasa gorom,i na balajar minak goran
ia belajar bahasa indonesia ,i na balajar minak indonesia
ia belajar bahasa jepang,i na balajar minak japang
ia belajar bahasa mandarin,i na balajar minak cina
ia belajar bahasa prancis ,i na balajar minak parancis
mereka belajar bahasa ambon,si da balajar minak ambon
mereka belajar bahasa arab,si da balajar minak arab
mereka belajar bahasa belanda,si da balajar minak walanda
mereka belajar bahasa geser,si da balajar minak geser
mereka belajar bahasa gorom,si da balajar minak goran
mereka belajar bahasa indonesia ,si da balajar minak indonesia
mereka belajar bahasa jepang,si da balajar minak japang
mereka belajar bahasa mandarin,si da balajar minak cina
mereka belajar bahasa prancis ,si da balajar minak parancis
kalian belajar bahasa ambon,kumu balajar minak ambon
kalian belajar bahasa arab,kumu balajar minak arab
kalian belajar bahasa belanda,kumu balajar minak walanda
kalian belajar bahasa geser,kumu balajar minak geser
kalian belajar bahasa gorom,kumu balajar minak goran
kalian belajar bahasa indonesia ,kumu balajar minak indonesia
kalian belajar bahasa jepang,kumu balajar minak japang
kalian belajar bahasa mandarin,kumu balajar minak cina
kalian belajar bahasa prancis ,kumu balajar minak parancis
kamu belajar bahasa ambon,kau balajar minak ambon
kamu belajar bahasa arab,kau balajar minak arab
kamu belajar bahasa belanda,kau balajar minak walanda
kamu belajar bahasa geser,kau balajar minak geser
kamu belajar bahasa gorom,kau balajar minak goran
kamu belajar bahasa indonesia ,kau balajar minak indonesia
kamu belajar bahasa jepang,kau balajar minak japang
kamu belajar bahasa mandarin,kau balajar minak cina
kamu belajar bahasa prancis ,kau balajar minak parancis
ayah belajar bahasa ambon,baba na balajar minak ambon
ayah belajar bahasa arab,baba na balajar minak arab
ayah belajar bahasa belanda,baba na balajar minak walanda
ayah belajar bahasa geser,baba na balajar minak geser
ayah belajar bahasa gorom,baba na balajar minak goran
ayah belajar bahasa indonesia ,baba na balajar minak indonesia
ayah belajar bahasa jepang,baba na balajar minak japang
ayah belajar bahasa mandarin,baba na balajar minak cina
ayah belajar bahasa prancis ,baba na balajar minak parancis
ibu belajar bahasa ambon,nina na balajar minak ambon
ibu belajar bahasa arab,nina na balajar minak arab
ibu belajar bahasa belanda,nina na balajar minak walanda
ibu belajar bahasa geser,nina na balajar minak geser
ibu belajar bahasa gorom,nina na balajar minak goran
ibu belajar bahasa indonesia ,nina na balajar minak indonesia
ibu belajar bahasa jepang,nina na balajar minak japang
ibu belajar bahasa mandarin,nina na balajar minak cina
ibu belajar bahasa prancis ,nina na balajar minak parancis
adik belajar bahasa ambon,toi na balajar minak ambon
adik belajar bahasa arab,toi na balajar minak arab
adik belajar bahasa belanda,toi na balajar minak walanda
adik belajar bahasa geser,toi na balajar minak geser
adik belajar bahasa gorom,toi na balajar minak goran
adik belajar bahasa indonesia ,toi na balajar minak indonesia
adik belajar bahasa jepang,toi na balajar minak japang
adik belajar bahasa mandarin,toi na balajar minak cina
adik belajar bahasa prancis ,toi na balajar minak parancis
abang belajar bahasa ambon,kaka na balajar minak ambon
abang belajar bahasa arab,kaka na balajar minak arab
abang belajar bahasa belanda,kaka na balajar minak walanda
abang belajar bahasa geser,kaka na balajar minak geser
abang belajar bahasa gorom,kaka na balajar minak goran
abang belajar bahasa indonesia ,kaka na balajar minak indonesia
abang belajar bahasa jepang,kaka na balajar minak japang
abang belajar bahasa mandarin,kaka na balajar minak cina
abang belajar bahasa prancis ,kaka na balajar minak parancis
kakek belajar bahasa ambon,tata urana na balajar minak ambon
kakek belajar bahasa arab,tata urana na balajar minak arab
kakek belajar bahasa belanda,tata urana na balajar minak walanda
kakek belajar bahasa geser,tata urana na balajar minak geser
kakek belajar bahasa gorom,tata urana na balajar minak goran
kakek belajar bahasa indonesia ,tata urana na balajar minak indonesia
kakek belajar bahasa jepang,tata urana na balajar minak japang
kakek belajar bahasa mandarin,tata urana na balajar minak cina
kakek belajar bahasa prancis ,tata urana na balajar minak parancis
nenek belajar bahasa ambon,tata wawina na balajar minak ambon
nenek belajar bahasa arab,tata wawina na balajar minak arab
nenek belajar bahasa belanda,tata wawina na balajar minak walanda
nenek belajar bahasa geser,tata wawina na balajar minak geser
nenek belajar bahasa gorom,tata wawina na balajar minak goran
nenek belajar bahasa indonesia ,tata wawina na balajar minak indonesia
nenek belajar bahasa jepang,tata wawina na balajar minak japang
nenek belajar bahasa mandarin,tata wawina na balajar minak cina
nenek belajar bahasa prancis ,tata wawina na balajar minak parancis
paman belajar bahasa ambon,mema na balajar minak ambon
paman belajar bahasa arab,mema na balajar minak arab
paman belajar bahasa belanda,mema na balajar minak walanda
paman belajar bahasa geser,mema na balajar minak geser
paman belajar bahasa gorom,mema na balajar minak goran
paman belajar bahasa indonesia ,mema na balajar minak indonesia
paman belajar bahasa jepang,mema na balajar minak japang
paman belajar bahasa mandarin,mema na balajar minak cina
paman belajar bahasa prancis ,mema na balajar minak parancis
bibi belajar bahasa ambon,wowa na balajar minak ambon
bibi belajar bahasa arab,wowa na balajar minak arab
bibi belajar bahasa belanda,wowa na balajar minak walanda
bibi belajar bahasa geser,wowa na balajar minak geser
bibi belajar bahasa gorom,wowa na balajar minak goran
bibi belajar bahasa indonesia ,wowa na balajar minak indonesia
bibi belajar bahasa jepang,wowa na balajar minak japang
bibi belajar bahasa mandarin,wowa na balajar minak cina
bibi belajar bahasa prancis ,wowa na balajar minak parancis
saya belajar bahasa ambon,aku balajar minak ambon
saya belajar bahasa arab,aku balajar minak arab
saya belajar bahasa belanda,aku balajar minak walanda
saya belajar bahasa geser,aku balajar minak geser
saya belajar bahasa gorom,aku balajar minak goran
saya belajar bahasa indonesia ,aku balajar minak indonesia
saya belajar bahasa jepang,aku balajar minak japang
saya belajar bahasa mandarin,aku balajar minak cina
saya belajar bahasa prancis ,aku balajar minak parancis
aku pergi ke desa,aku tagi bua wanu
aku pergi ke gereja,aku tagi bua gareja
aku pergi ke hutan,aku tagi rei esi
aku pergi ke kampus,aku tagi bua kampus
aku pergi ke kantor,aku tagi bua kantor
aku pergi ke kota,aku tagi bua kota
aku pergi ke masjid,aku tagi bua masikit
aku pergi ke mushola,aku tagi bua musala
aku pergi ke pantai,aku tagi lau tansoa
aku pergi ke pasar,aku tagi bua pasar
aku pergi ke salon,aku tagi bua salon
aku pergi ke sekolah,aku tagi bua sikolah
aku pergi ke sungai,aku tagi bua arlean
kamu pergi ke desa,Kau Dagi Bua Wanu
kamu pergi ke gereja,Kau Dagi Bua Gareja
kamu pergi ke hutan,Kau Dagi Rei Esi
kamu pergi ke kampus,Kau Dagi Bua Kampus
kamu pergi ke kantor,Kau Dagi Bua Kantor
kamu pergi ke kota,Kau Dagi Bua Kota
kamu pergi ke masjid,Kau Dagi Bua Masikit
kamu pergi ke mushola,Kau Dagi Bua Musala
kamu pergi ke pantai,Kau Dagi Lau Tansoa
kamu pergi ke pasar,Kau Dagi Bua Pasar
kamu pergi ke salon,Kau Dagi Bua Salon
kamu pergi ke sekolah,Kau Dagi Bua Sikolah
kamu pergi ke sungai,Kau Dagi Bua Arlean
dia pergi ke desa,i na tagi bua wanu
dia pergi ke gereja,i na tagi bua gareja
dia pergi ke hutan,i na tagi rei esi
dia pergi ke kampus,i na tagi bua kampus
dia pergi ke kantor,i na tagi bua kantor
dia pergi ke kota,i na tagi bua kota
dia pergi ke masjid,i na tagi bua masikit
dia pergi ke mushola,i na tagi bua musala
dia pergi ke pantai,i na tagi lau tansoa
dia pergi ke pasar,i na tagi bua pasar
dia pergi ke salon,i na tagi bua salon
dia pergi ke sekolah,i na tagi bua sikolah
dia pergi ke sungai,i na tagi bua arlean
mereka pergi ke desa,si da tagi bua wanu
mereka pergi ke gereja,si da tagi bua gareja
mereka pergi ke hutan,si da tagi rei esi
mereka pergi ke kampus,si da tagi bua kampus
mereka pergi ke kantor,si da tagi bua kantor
mereka pergi ke kota,si da tagi bua kota
mereka pergi ke masjid,si da tagi bua masikit
mereka pergi ke mushola,si da tagi bua musala
mereka pergi ke pantai,si da tagi lau tansoa
mereka pergi ke pasar,si da tagi bua pasar
mereka pergi ke salon,si da tagi bua salon
mereka pergi ke sekolah,si da tagi bua sikolah
mereka pergi ke sungai,si da tagi bua arlean
abang pergi ke desa,kaka na tagi bua wanu
abang pergi ke gereja,kaka na tagi bua gareja
abang pergi ke hutan,kaka na tagi rei esi
abang pergi ke kampus,kaka na tagi bua kampus
abang pergi ke kantor,kaka na tagi bua kantor
abang pergi ke kota,kaka na tagi bua kota
abang pergi ke masjid,kaka na tagi bua masikit
abang pergi ke mushola,kaka na tagi bua musala
abang pergi ke pantai,kaka na tagi lau tansoa
abang pergi ke pasar,kaka na tagi bua pasar
abang pergi ke salon,kaka na tagi bua salon
abang pergi ke sekolah,kaka na tagi bua sikolah
abang pergi ke sungai,kaka na tagi bua arlean
adik pergi ke desa,toi na tagi bua wanu
adik pergi ke gereja,toi na tagi bua gareja
adik pergi ke hutan,toi na tagi rei esi
adik pergi ke kampus,toi na tagi bua kampus
adik pergi ke kantor,toi na tagi bua kantor
adik pergi ke kota,toi na tagi bua kota
adik pergi ke masjid,toi na tagi bua masikit
adik pergi ke mushola,toi na tagi bua musala
adik pergi ke pantai,toi na tagi lau tansoa
adik pergi ke pasar,toi na tagi bua pasar
adik pergi ke salon,toi na tagi bua salon
adik pergi ke sekolah,toi na tagi bua sikolah
adik pergi ke sungai,toi na tagi bua arlean
ayah pergi ke desa,baba na tagi bua wanu
ayah pergi ke gereja,baba na tagi bua gareja
ayah pergi ke hutan,baba na tagi rei esi
ayah pergi ke kampus,baba na tagi bua kampus
ayah pergi ke kantor,baba na tagi bua kantor
ayah pergi ke kota,baba na tagi bua kota
ayah pergi ke masjid,baba na tagi bua masikit
ayah pergi ke mushola,baba na tagi bua musala
ayah pergi ke pantai,baba na tagi lau tansoa
ayah pergi ke pasar,baba na tagi bua pasar
ayah pergi ke salon,baba na tagi bua salon
ayah pergi ke sekolah,baba na tagi bua sikolah
ayah pergi ke sungai,baba na tagi bua arlean
ibu pergi ke desa,nina na tagi bua wanu
ibu pergi ke gereja,nina na tagi bua gareja
ibu pergi ke hutan,nina na tagi rei esi
ibu pergi ke kampus,nina na tagi bua kampus
ibu pergi ke kantor,nina na tagi bua kantor
ibu pergi ke kota,nina na tagi bua kota
ibu pergi ke masjid,nina na tagi bua masikit
ibu pergi ke mushola,nina na tagi bua musala
ibu pergi ke pantai,nina na tagi lau tansoa
ibu pergi ke pasar,nina na tagi bua pasar
ibu pergi ke salon,nina na tagi bua salon
ibu pergi ke sekolah,nina na tagi bua sikolah
ibu pergi ke sungai,nina na tagi bua arlean
kakek pergi ke desa,tata urana na tagi bua wanu
kakek pergi ke gereja,tata urana na tagi bua gareja
kakek pergi ke hutan,tata urana na tagi rei esi
kakek pergi ke kampus,tata urana na tagi bua kampus
kakek pergi ke kantor,tata urana na tagi bua kantor
kakek pergi ke kota,tata urana na tagi bua kota
kakek pergi ke masjid,tata urana na tagi bua masikit
kakek pergi ke mushola,tata urana na tagi bua musala
kakek pergi ke pantai,tata urana na tagi lau tansoa
kakek pergi ke pasar,tata urana na tagi bua pasar
kakek pergi ke salon,tata urana na tagi bua salon
kakek pergi ke sekolah,tata urana na tagi bua sikolah
kakek pergi ke sungai,tata urana na tagi bua arlean
nenek pergi ke desa,tata wawina na tagi bua wanu
nenek pergi ke gereja,tata wawina na tagi bua gareja
nenek pergi ke hutan,tata wawina na tagi rei esi
nenek pergi ke kampus,tata wawina na tagi bua kampus
nenek pergi ke kantor,tata wawina na tagi bua kantor
nenek pergi ke kota,tata wawina na tagi bua kota
nenek pergi ke masjid,tata wawina na tagi bua masikit
nenek pergi ke mushola,tata wawina na tagi bua musala
nenek pergi ke pantai,tata wawina na tagi lau tansoa
nenek pergi ke pasar,tata wawina na tagi bua pasar
nenek pergi ke salon,tata wawina na tagi bua salon
nenek pergi ke sekolah,tata wawina na tagi bua sikolah
nenek pergi ke sungai,tata wawina na tagi bua arlean
beliau pergi ke desa,kena lean na tagi bua wanu
beliau pergi ke gereja,kena lean na tagi bua gareja
beliau pergi ke hutan,kena lean na tagi rei esi
beliau pergi ke kampus,kena lean na tagi bua kampus
